# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
    2653       39 -1.404260E-01  -3.884410E-03   3.534120E-02 -2.002130E+07  -1.810880E+07  -1.659700E+07  1.739290E+07   1.188940E+07  -1.371580E+07
    1970       40 -1.488180E-01  -1.762940E-02   4.665630E-02 -7.676990E+06  -3.212410E+06  -1.832760E+05  6.894320E+06   4.648730E+06  -7.004830E+06
    1943       41 -1.531150E-01  -1.668180E-02   4.581800E-02 -2.715740E+07  -1.289410E+07  -1.070100E+07  1.637990E+07   1.162640E+07  -1.749730E+07
    1922       42 -1.564980E-01  -1.448380E-02   4.387350E-02 -1.773240E+07  -2.524630E+07  -1.914390E+07  1.887230E+07   2.079510E+07  -1.640450E+07
    1922       43 -1.583570E-01  -1.143220E-02   4.117390E-02 -1.214840E+07  -3.045370E+07  -1.899670E+07  1.444070E+07   2.319430E+07  -1.276190E+07
    1902       44 -1.583570E-01  -8.077910E-03   3.820640E-02 -2.183450E+05  -1.449220E+07  -6.596330E+06  4.936500E+06   1.077960E+07  -4.550910E+06
    2521       45 -1.564980E-01  -5.026330E-03   3.550670E-02  1.058840E+07   1.589520E+07   3.558010E+06  1.248440E+07  -5.021880E+06  -3.903530E+06
     581       46 -1.531150E-01  -2.828370E-03   3.356220E-02  2.342630E+07   7.423580E+06   2.242250E+06  1.483390E+07  -3.503600E+06  -1.694110E+06
     583       47 -1.488180E-01  -1.880780E-03   3.272390E-02  2.870560E+06   7.704440E+06   2.740120E+06  1.819530E+07  -2.560690E+06  -5.804870E+06
    6216       48 -1.533910E-01  -2.516920E-02   2.226660E-02 -6.456900E+07   7.374810E+07   4.896030E+07 -5.765010E+07  -1.053370E+07  -9.810770E+06
    2721       49 -1.513820E-01  -2.829270E-02   2.502980E-02  1.017220E+08   4.190910E+07   1.279320E+08 -6.219550E+07  -6.167320E+07   3.490140E+07
    1950       50 -1.468700E-01  -2.906410E-02   2.571230E-02  2.828430E+08   1.399550E+07   2.574160E+08 -4.474680E+07  -6.137250E+06   1.158030E+08
    1950       51 -1.432510E-01  -2.690260E-02   2.380010E-02  4.467780E+08   1.015120E+08   2.889880E+08  3.095570E+07   2.625050E+06   1.254710E+08
    1909       52 -1.432510E-01  -2.343590E-02   2.073310E-02  4.131510E+08   2.639810E+08   1.931550E+08  1.366960E+08  -9.475950E+06   9.285530E+07
    6217       53 -1.468700E-01  -2.127440E-02   1.882090E-02  1.089460E+08   1.407880E+08   5.618670E+07  1.116900E+08   9.010960E+06  -9.740100E+07
    5714       54 -1.513820E-01  -2.204580E-02   1.950340E-02 -5.028260E+07   1.213650E+08   2.679990E+07  5.336650E+07  -1.535860E+07  -7.236500E+07
    2183       55 -1.560580E-01   1.903120E-02  -6.357300E-03 -1.658950E+08  -2.438840E+07  -8.621960E+06  5.133240E+07  -7.017770E+06  -1.317340E+07
    1848       56 -1.547870E-01   1.579140E-02  -3.491120E-03 -1.660510E+08   1.679000E+07   1.225800E+07 -6.928430E+06  -2.114200E+07   1.226220E+07
    2350       57 -1.513800E-01   1.358020E-02  -1.534920E-03  3.994620E+05   4.535250E+07   3.553490E+07 -5.797920E+07  -4.280870E+07   7.142200E+07
    2425       58 -1.469180E-01   1.309960E-02  -1.109800E-03  1.115450E+08   6.478960E+07   8.597790E+07 -5.262530E+07  -5.584440E+07   7.252470E+07
    2444       59 -1.428170E-01   1.450230E-02  -2.350730E-03  2.311510E+08   9.444380E+07   6.835140E+07 -7.227970E+07  -5.851400E+07   6.161330E+07
    2444       60 -1.403800E-01   1.734290E-02  -4.863710E-03  2.516470E+08   8.622860E+07   5.371990E+07 -6.092090E+07  -5.061490E+07   4.650790E+07
    1871       61 -1.403800E-01   2.071950E-02  -7.850890E-03  2.591840E+08   5.587460E+07   3.830010E+07 -6.424400E+07  -4.247150E+07   7.860450E+06
    1858       62 -1.428170E-01   2.356000E-02  -1.036390E-02  1.900520E+08  -4.435310E+07   5.723140E+07 -1.851470E+07   6.830870E+06  -3.507420E+07
    6206       63 -1.469180E-01   2.496270E-02  -1.160480E-02  1.142950E+08  -5.912900E+07   2.529210E+07  3.264880E+07   1.519010E+07  -3.670390E+07
    2219       64 -1.513800E-01   2.448220E-02  -1.117970E-02 -3.963930E+07  -9.693120E+07  -3.074550E+07  8.240810E+07   2.225350E+07  -3.342250E+07
    2186       65 -1.547870E-01   2.227100E-02  -9.223480E-03 -1.381790E+08  -6.923270E+07  -1.542800E+07  8.871380E+07   2.396130E+06  -1.756270E+07
    1726       66 -1.443850E-01   1.331370E-02   2.092090E-03  1.940140E+07   1.250900E+06  -1.655380E+06  6.436740E+06  -1.371770E+07   3.222810E+07
    1724       67 -1.490350E-01   1.285340E-02   2.499380E-03  1.761280E+07  -5.698010E+06  -5.185500E+06  5.120400E+06  -1.496440E+07   3.299550E+07
    2283       68 -1.534920E-01   1.394990E-02   1.529280E-03  5.303630E+06  -1.619590E+05   2.463280E+07 -3.349110E+05  -2.209710E+07   4.451120E+07
    2242       69 -1.568730E-01   1.638620E-02  -6.260620E-04  2.128300E+06  -3.327740E+06   1.907460E+07  3.202540E+05  -2.059750E+07   3.240650E+07
    2211       70 -1.585070E-01   1.967970E-02  -3.539750E-03 -1.975670E+07  -1.000140E+05   1.962090E+07  2.336740E+07  -2.709410E+07   1.485050E+07
    5741       71 -1.580710E-01   2.317810E-02  -6.634700E-03 -7.938240E+06  -3.584060E+06   7.654720E+06  2.682710E+07  -2.435060E+07   1.319720E+06
    6823       72 -1.556520E-01   2.618850E-02  -9.297910E-03 -5.586810E+06  -1.240200E+07  -1.883220E+06  3.651850E+07  -2.434600E+07   1.229500E+06
    2222       73 -1.517290E-01   2.811460E-02  -1.100190E-02  1.182140E+07  -5.529340E+07  -7.447650E+06  4.921230E+07  -1.841610E+07   6.022790E+05
