# elem_id    node_id        X            Y            Z         Damage        N_failure
     2283         68  -1.534920E-01   1.394990E-02   1.529280E-03   0.000000E+00   1.797693+308
     2242         69  -1.568730E-01   1.638620E-02  -6.260620E-04   0.000000E+00   1.797693+308
     2211         70  -1.585070E-01   1.967970E-02  -3.539750E-03   0.000000E+00   1.797693+308
     5741         71  -1.580710E-01   2.317810E-02  -6.634700E-03   0.000000E+00   1.797693+308
     5741         72  -1.556520E-01   2.618850E-02  -9.297910E-03   0.000000E+00   1.797693+308
     2222         73  -1.517290E-01   2.811460E-02  -1.100190E-02   0.000000E+00   1.797693+308
     1241         74  -1.470780E-01   2.857500E-02  -1.140920E-02   0.000000E+00   1.797693+308
     5750         75  -1.426210E-01   2.747850E-02  -1.043910E-02   0.000000E+00   1.797693+308
     5750         76  -1.392410E-01   2.504220E-02  -8.283750E-03   0.000000E+00   1.797693+308
     5524         77  -1.376060E-01   2.174860E-02  -5.370060E-03   0.000000E+00   1.797693+308
     2433         78  -1.380420E-01   1.825020E-02  -2.275120E-03   0.000000E+00   1.797693+308
     5017         79  -1.404610E-01   1.523990E-02   3.880960E-04   0.000000E+00   1.797693+308
     1854         80  -1.532130E-01   1.903120E-02  -6.357300E-03   0.000000E+00   1.797693+308
     1853         81  -1.512710E-01   2.205050E-02  -9.028420E-03   0.000000E+00   1.797693+308
     1858         82  -1.469090E-01   2.279620E-02  -9.688140E-03   0.000000E+00   1.797693+308
     1858         83  -1.434110E-01   2.070680E-02  -7.839660E-03   0.000000E+00   1.797693+308
     1867         84  -1.434110E-01   1.735560E-02  -4.874940E-03   0.000000E+00   1.797693+308
     1874         85  -1.469090E-01   1.526620E-02  -3.026460E-03   0.000000E+00   1.797693+308
     2357         86  -1.512710E-01   1.601190E-02  -3.686180E-03   0.000000E+00   1.797693+308
     1855         87  -1.532130E-01   1.383070E-02  -1.223570E-02   0.000000E+00   1.797693+308
     2240         88  -1.512710E-01   1.685000E-02  -1.490680E-02   0.000000E+00   1.797693+308
     1862         89  -1.469090E-01   1.759570E-02  -1.556650E-02   0.000000E+00   1.797693+308
     1862         90  -1.434110E-01   1.550630E-02  -1.371810E-02   0.000000E+00   1.797693+308
     1870         91  -1.434110E-01   1.215510E-02  -1.075330E-02   0.000000E+00   1.797693+308
     2426         92  -1.469090E-01   1.006570E-02  -8.904860E-03   0.000000E+00   1.797693+308
     1855         93  -1.512710E-01   1.081140E-02  -9.564570E-03   0.000000E+00   1.797693+308
     5711         94  -1.380350E-01   2.792530E-02   8.626960E-03   0.000000E+00   1.797693+308
     1866         95  -1.443850E-01   2.184440E-02   1.173480E-02   0.000000E+00   1.797693+308
     1866         96  -1.404260E-01   2.421250E-02   1.048470E-02   0.000000E+00   1.797693+308
     2361         97  -1.380350E-01   3.281930E-02   4.297370E-03   0.000000E+00   1.797693+308
     2463         98  -1.375200E-01   3.056920E-02   6.684770E-03   0.000000E+00   1.797693+308
     1218         99  -1.443850E-01   3.664530E-02  -1.359200E-03   0.000000E+00   1.797693+308
     1218        100  -1.404260E-01   3.511550E-02   8.389230E-04   0.000000E+00   1.797693+308
     2301        101  -1.488180E-01   2.137060E-02   1.215400E-02   0.000000E+00   1.797693+308
     2194        102  -1.531150E-01   2.231820E-02   1.131570E-02   0.000000E+00   1.797693+308
     1809        103  -1.564980E-01   2.451610E-02   9.371210E-03   0.000000E+00   1.797693+308
     1809        104  -1.583570E-01   2.756770E-02   6.671550E-03   0.000000E+00   1.797693+308
     1758        105  -1.583570E-01   3.092200E-02   3.704050E-03   0.000000E+00   1.797693+308
     1764        106  -1.564980E-01   3.397360E-02   1.004400E-03   0.000000E+00   1.797693+308
     1764        107  -1.531150E-01   3.617160E-02  -9.400880E-04   0.000000E+00   1.797693+308
     5699        108  -1.488180E-01   3.711920E-02  -1.778400E-03   0.000000E+00   1.797693+308
     6003        109  -8.001000E-03  -2.333610E-02   3.112400E-02   0.000000E+00   1.797693+308
     5729        110  -6.730870E-03  -2.657590E-02   3.399020E-02   0.000000E+00   1.797693+308
     2067        111  -3.323740E-03  -2.878710E-02   3.594640E-02   0.000000E+00   1.797693+308
     2077        112   1.138660E-03  -2.926760E-02   3.637150E-02   0.000000E+00   1.797693+308
     4476        113   5.239540E-03  -2.786490E-02   3.513060E-02   0.000000E+00   1.797693+308
     4481        114   7.676900E-03  -2.502440E-02   3.261760E-02   0.000000E+00   1.797693+308
     5299        115   7.676900E-03  -2.164780E-02   2.963040E-02   0.000000E+00   1.797693+308
     4360        116   5.239540E-03  -1.880720E-02   2.711740E-02   0.000000E+00   1.797693+308
     4119        117   1.138660E-03  -1.740450E-02   2.587650E-02   0.000000E+00   1.797693+308
     4018        118  -3.323740E-03  -1.788510E-02   2.630160E-02   0.000000E+00   1.797693+308
     6009        119  -6.730870E-03  -2.009630E-02   2.825780E-02   0.000000E+00   1.797693+308
     4012        120  -3.671900E-03  -1.425260E-02   2.647940E-02   0.000000E+00   1.797693+308
     5354        121   9.788390E-04  -1.379220E-02   2.607210E-02   0.000000E+00   1.797693+308
     5352        122   5.435710E-03  -1.488880E-02   2.704220E-02   0.000000E+00   1.797693+308
     4557        123   8.815970E-03  -1.732510E-02   2.919750E-02   0.000000E+00   1.797693+308
     5311        124   1.045010E-02  -2.061860E-02   3.211120E-02   0.000000E+00   1.797693+308
     5580        125   1.001450E-02  -2.411700E-02   3.520620E-02   0.000000E+00   1.797693+308
     1502        126   7.595380E-03  -2.712740E-02   3.786940E-02   0.000000E+00   1.797693+308
      160        127   3.671900E-03  -2.905350E-02   3.957340E-02   0.000000E+00   1.797693+308
     1385        128  -9.788390E-04  -2.951390E-02   3.998070E-02   0.000000E+00   1.797693+308
     1384        129  -5.435710E-03  -2.841730E-02   3.901060E-02   0.000000E+00   1.797693+308
     4089        130  -8.815970E-03  -2.598100E-02   3.685520E-02   0.000000E+00   1.797693+308
     3906        131  -1.045010E-02  -2.268750E-02   3.394150E-02   0.000000E+00   1.797693+308
     3908        132  -1.001450E-02  -1.918910E-02   3.084660E-02   0.000000E+00   1.797693+308
     3921        133  -7.595380E-03  -1.617870E-02   2.818340E-02   0.000000E+00   1.797693+308
     5729        134  -5.156200E-03  -2.333610E-02   3.112400E-02   0.000000E+00   1.797693+308
     2036        135  -3.214840E-03  -2.031670E-02   2.845290E-02   0.000000E+00   1.797693+308
     4128        136   1.147360E-03  -1.957100E-02   2.779320E-02   0.000000E+00   1.797693+308
     2068        137   4.645580E-03  -2.166050E-02   2.964160E-02   0.000000E+00   1.797693+308
     4476        138   4.645580E-03  -2.501170E-02   3.260640E-02   0.000000E+00   1.797693+308
     2067        139   1.147360E-03  -2.710110E-02   3.445480E-02   0.000000E+00   1.797693+308
     2067        140  -3.214840E-03  -2.635540E-02   3.379510E-02   0.000000E+00   1.797693+308
     4092        141  -5.156200E-03  -2.853650E-02   2.524560E-02   4.587214E-07   1.797693+308
     2029        142  -3.214840E-03  -2.551720E-02   2.257450E-02   0.000000E+00   1.797693+308
     4125        143   1.147360E-03  -2.477150E-02   2.191480E-02   0.000000E+00   1.797693+308
     6037        144   4.645580E-03  -2.686090E-02   2.376320E-02   0.000000E+00   1.797693+308
     4472        145   4.645580E-03  -3.021210E-02   2.672800E-02   0.000000E+00   1.797693+308
     4414        146   1.147360E-03  -3.230160E-02   2.857640E-02   0.000000E+00   1.797693+308
     4092        147  -3.214840E-03  -3.155590E-02   2.791670E-02   6.814238E-07   1.797693+308
     2009        148  -1.002190E-02  -9.547990E-03   4.177870E-02   0.000000E+00   1.797693+308
     2014        149  -3.671900E-03  -5.721940E-03   3.612210E-02   0.000000E+00   1.797693+308
     2009        150  -7.630700E-03  -7.251480E-03   3.832010E-02   0.000000E+00   1.797693+308
     3883        151  -1.002190E-02  -1.444200E-02   4.610830E-02   0.000000E+00   1.797693+308
      216        152  -1.053670E-02  -1.179810E-02   4.416610E-02   0.000000E+00   1.797693+308
     4160        153  -3.671900E-03  -2.052280E-02   4.921610E-02   0.000000E+00   1.797693+308
     4159        154  -7.630480E-03  -1.815460E-02   4.796570E-02   0.000000E+00   1.797693+308
     4045        155   7.617530E-04  -5.248090E-03   3.570290E-02   0.000000E+00   1.797693+308
     4047        156   5.057900E-03  -6.195680E-03   3.654120E-02   0.000000E+00   1.797693+308
     2085        157   8.441020E-03  -8.393640E-03   3.848570E-02   0.000000E+00   1.797693+308
     2085        158   1.030040E-02  -1.144520E-02   4.118530E-02   0.000000E+00   1.797693+308
     2175        159   1.030040E-02  -1.479960E-02   4.415280E-02   0.000000E+00   1.797693+308
     2165        160   8.441020E-03  -1.785110E-02   4.685250E-02   0.000000E+00   1.797693+308
     2165        161   5.057900E-03  -2.004910E-02   4.879700E-02   0.000000E+00   1.797693+308
     5733        162   7.617530E-04  -2.099670E-02   4.963530E-02   0.000000E+00   1.797693+308
     3916        163  -8.001000E-03   5.200480E-03   5.878400E-03   0.000000E+00   1.797693+308
     4027        164  -6.730870E-03   1.960670E-03   8.744580E-03   0.000000E+00   1.797693+308
     4026        165  -3.323740E-03  -2.505300E-04   1.070080E-02   0.000000E+00   1.797693+308
     4133        166   1.138660E-03  -7.310680E-04   1.112590E-02   0.000000E+00   1.797693+308
     4136        167   5.239540E-03   6.716170E-04   9.884970E-03   0.000000E+00   1.797693+308
     4425        168   7.676900E-03   3.512180E-03   7.371990E-03   0.000000E+00   1.797693+308
     2066        169   7.676900E-03   6.888770E-03   4.384800E-03   0.000000E+00   1.797693+308
     2055        170   5.239540E-03   9.729340E-03   1.871820E-03   0.000000E+00   1.797693+308
     2035        171   1.138660E-03   1.113200E-02   6.309010E-04   0.000000E+00   1.797693+308
     2027        172  -3.323740E-03   1.065150E-02   1.056020E-03   0.000000E+00   1.797693+308
     3919        173  -6.730870E-03   8.440290E-03   3.012210E-03   0.000000E+00   1.797693+308
     4003        174  -3.671900E-03   1.428390E-02   1.233790E-03   0.000000E+00   1.797693+308
      798        175   9.788390E-04   1.474430E-02   8.265100E-04   0.000000E+00   1.797693+308
     4355        176   5.435710E-03   1.364770E-02   1.796610E-03   0.000000E+00   1.797693+308
      698        177   8.815970E-03   1.121140E-02   3.951950E-03   0.000000E+00   1.797693+308
      698        178   1.045010E-02   7.917930E-03   6.865640E-03   0.000000E+00   1.797693+308
