# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     10.  10434.  0.224157E-02 -0.705412E-02  0.265779E-01  0.172679E+08  0.557884E+08 -0.845347E+06 -0.389241E+08  0.699685E+07 -0.874389E+06
     10.  11639.  0.169945E-02 -0.911201E-02  0.285439E-01  0.264557E+08  0.532360E+08  0.696001E+07 -0.473943E+08  0.125418E+08 -0.123307E+08
     11.  10434.  0.224157E-02 -0.705412E-02  0.265779E-01  0.173564E+08  0.666705E+08 -0.854946E+06 -0.279360E+08  0.167495E+07 -0.246435E+06
     11.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.208171E+08  0.725493E+08  0.270029E+07 -0.270223E+08  0.371840E+07 -0.508186E+07
     11.  10773.  0.202385E-02 -0.106733E-01  0.234571E-01  0.240546E+08  0.851398E+08 -0.274168E+06 -0.235704E+08 -0.127233E+07 -0.808395E+07
     11.  10855.  0.611174E-02 -0.863235E-02  0.236291E-01  0.182445E+08  0.649535E+08 -0.155510E+07 -0.157452E+08 -0.412216E+07 -0.375615E+07
     12.   8429.  0.233033E-02 -0.110240E-01  0.270750E-01  0.305178E+08  0.787453E+08  0.653782E+07 -0.419244E+08  0.189484E+08 -0.148184E+08
     12.  10434.  0.224157E-02 -0.705412E-02  0.265779E-01  0.190494E+08  0.676159E+08 -0.146262E+06 -0.350053E+08  0.793394E+07 -0.274279E+07
     12.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.246275E+08  0.734948E+08  0.394255E+07 -0.339732E+08  0.103928E+08 -0.821699E+07
     12.  10773.  0.202385E-02 -0.106733E-01  0.234571E-01  0.252529E+08  0.936326E+08  0.195306E+07 -0.276685E+08  0.167064E+07 -0.920677E+07
     13.   8448.  0.404641E-02 -0.862806E-02  0.301833E-01  0.263162E+08  0.547020E+08  0.662687E+07 -0.397820E+08  0.147785E+07 -0.494107E+07
     13.   9729.  0.642055E-02 -0.985762E-02  0.304502E-01  0.287901E+08  0.568519E+08  0.752902E+07 -0.361810E+08  0.458504E+06 -0.444908E+07
     13.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.230333E+08  0.607970E+08  0.476335E+07 -0.324944E+08  0.393638E+07 -0.563681E+07
     13.  10627.  0.797786E-02 -0.651614E-02  0.275669E-01  0.577617E+07  0.412291E+08 -0.300545E+07 -0.180021E+08 -0.372567E+07  0.118688E+07
     14.   8448.  0.404641E-02 -0.862806E-02  0.301833E-01  0.362690E+08  0.501462E+08  0.799326E+07 -0.461647E+08  0.502626E+07 -0.958772E+07
     14.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.300254E+08  0.623510E+08  0.647404E+07 -0.408328E+08  0.748171E+07 -0.884254E+07
     14.   9729.  0.642055E-02 -0.985762E-02  0.304502E-01  0.379091E+08  0.565101E+08  0.898208E+07 -0.431051E+08  0.470849E+07 -0.799259E+07
     14.  11921.  0.416804E-02 -0.105519E-01  0.293615E-01  0.433433E+08  0.555854E+08  0.997740E+07 -0.498286E+08  0.954884E+07 -0.139276E+08
     15.  10434.  0.224157E-02 -0.705412E-02  0.265779E-01  0.124882E+08  0.531813E+08 -0.294860E+07 -0.270027E+08  0.693488E+06  0.257310E+07
     15.  10627.  0.797786E-02 -0.651614E-02  0.275669E-01  0.824358E+07  0.483518E+08 -0.398696E+07 -0.147799E+08 -0.248096E+07  0.179518E+07
     15.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.166973E+08  0.599093E+08  0.823908E+05 -0.255402E+08  0.234194E+07 -0.261699E+07
     15.  10855.  0.611174E-02 -0.863235E-02  0.236291E-01  0.139889E+08  0.578131E+08 -0.235266E+07 -0.135153E+08 -0.412034E+07 -0.182540E+07
     16.   9729.  0.642055E-02 -0.985762E-02  0.304502E-01  0.258798E+08  0.570615E+08  0.623637E+07 -0.318930E+08  0.216734E+06 -0.417985E+07
     16.  10610.  0.878793E-02 -0.110833E-01  0.292599E-01  0.194411E+08  0.565772E+08  0.306135E+07 -0.224721E+08  0.204451E+06 -0.448747E+07
     16.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.237286E+08  0.646009E+08  0.549285E+07 -0.297088E+08  0.394962E+07 -0.553219E+07
     16.  10627.  0.797786E-02 -0.651614E-02  0.275669E-01  0.884434E+07  0.462934E+08 -0.768099E+05 -0.155811E+08 -0.287031E+07  0.228979E+05
     17.   8547.  0.628318E-02 -0.119103E-01  0.281508E-01  0.282944E+08  0.752306E+08  0.562674E+07 -0.318451E+08  0.795284E+07 -0.770851E+07
     17.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.247956E+08  0.696794E+08  0.468756E+07 -0.289194E+08  0.566819E+07 -0.742260E+07
     17.  10610.  0.878793E-02 -0.110833E-01  0.292599E-01  0.219070E+08  0.694515E+08  0.258892E+07 -0.241826E+08  0.409968E+07 -0.627632E+07
     17.  10611.  0.903531E-02 -0.126953E-01  0.250855E-01  0.221108E+08  0.767401E+08  0.813457E+06 -0.157009E+08  0.877553E+06 -0.945318E+07
     18.   8547.  0.628318E-02 -0.119103E-01  0.281508E-01  0.328638E+08  0.727355E+08  0.773403E+07 -0.373271E+08  0.915618E+07 -0.834319E+07
     18.   9729.  0.642055E-02 -0.985762E-02  0.304502E-01  0.315927E+08  0.615159E+08  0.764645E+07 -0.366069E+08  0.305317E+07 -0.637098E+07
     18.  10610.  0.878793E-02 -0.110833E-01  0.292599E-01  0.250492E+08  0.659953E+08  0.570553E+07 -0.283486E+08  0.300658E+07 -0.609667E+07
     18.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.283434E+08  0.667304E+08  0.554696E+07 -0.346626E+08  0.747742E+07 -0.750303E+07
     19.   8547.  0.628318E-02 -0.119103E-01  0.281508E-01  0.365960E+08  0.705852E+08  0.841643E+07 -0.426898E+08  0.112589E+08 -0.102552E+08
     19.   9729.  0.642055E-02 -0.985762E-02  0.304502E-01  0.365437E+08  0.600724E+08  0.803248E+07 -0.414147E+08  0.531491E+07 -0.775933E+07
     19.  11948.  0.501428E-02 -0.100206E-01  0.272778E-01  0.281039E+08  0.655707E+08  0.540039E+07 -0.386794E+08  0.859845E+07 -0.874728E+07
     19.  11921.  0.416804E-02 -0.105519E-01  0.293615E-01  0.433071E+08  0.604572E+08  0.100772E+08 -0.488836E+08  0.110938E+08 -0.140958E+08
     20.   2729. -0.138876E+00  0.195819E-01  0.208197E-02  0.182266E+08  0.174391E+08 -0.262144E+08  0.166061E+08 -0.388852E+08 -0.146858E+08
     20.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.223155E+08  0.248342E+08 -0.209231E+08  0.157403E+08 -0.342927E+08 -0.193761E+08
     20.   9678. -0.138370E+00  0.183764E-01  0.360151E-02  0.235932E+08  0.189798E+08 -0.257020E+08  0.129927E+08 -0.331300E+08 -0.192790E+08
     20.  11910. -0.136412E+00  0.199262E-01  0.282562E-02  0.203611E+08  0.208498E+08 -0.275815E+08  0.908148E+07 -0.319867E+08 -0.201534E+08
     21.   2729. -0.138876E+00  0.195819E-01  0.208197E-02  0.178341E+08  0.170743E+08 -0.243294E+08  0.211362E+08 -0.410553E+08 -0.137052E+08
     21.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.234286E+08  0.255091E+08 -0.183025E+08  0.194656E+08 -0.361105E+08 -0.185627E+08
     21.   2772. -0.139240E+00  0.202646E-01  0.375697E-02  0.227680E+08  0.229689E+08 -0.158197E+08  0.254995E+08 -0.396482E+08 -0.174982E+08
     21.   9678. -0.138370E+00  0.183764E-01  0.360151E-02  0.260094E+08  0.202715E+08 -0.219696E+08  0.168732E+08 -0.349652E+08 -0.190435E+08
     22.   2772. -0.139240E+00  0.202646E-01  0.375697E-02  0.277492E+08  0.266589E+08 -0.923355E+07  0.282719E+08 -0.390602E+08 -0.204939E+08
     22.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.268626E+08  0.279366E+08 -0.152943E+08  0.221598E+08 -0.362087E+08 -0.208114E+08
     22.   2785. -0.140297E+00  0.202021E-01  0.573373E-02  0.368748E+08  0.299004E+08 -0.648918E+06  0.330267E+08 -0.362173E+08 -0.256545E+08
     22.   9678. -0.138370E+00  0.183764E-01  0.360151E-02  0.287790E+08  0.217774E+08 -0.203342E+08  0.194295E+08 -0.339964E+08 -0.207095E+08
     23.   2772. -0.139240E+00  0.202646E-01  0.375697E-02  0.272042E+08  0.323939E+08 -0.370700E+07  0.327461E+08 -0.410938E+08 -0.209239E+08
     23.   2786. -0.139060E+00  0.217690E-01  0.502794E-02  0.283964E+08  0.414040E+08  0.225376E+07  0.355426E+08 -0.405354E+08 -0.228633E+08
     23.   2785. -0.140297E+00  0.202021E-01  0.573373E-02  0.354470E+08  0.369893E+08  0.622798E+07  0.386320E+08 -0.393769E+08 -0.261395E+08
     23.  11947. -0.137736E+00  0.208476E-01  0.392678E-02  0.274536E+08  0.339364E+08 -0.931335E+07  0.257584E+08 -0.375044E+08 -0.214733E+08
