# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
     10.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.933649E+07  0.190370E+06  0.589781E+06  0.216823E+07  0.110581E+06  0.917984E+06
     10.    966. -0.562626E-01  0.271862E-01  0.342070E-01 -0.104329E+08  0.341289E+06  0.211620E+07  0.127880E+07  0.224863E+06  0.471141E+06
     11.    409. -0.527558E-01  0.276506E-01  0.405710E-01 -0.109663E+08 -0.339259E+05 -0.966432E+05  0.283391E+07 -0.328201E+06  0.201982E+06
     11.    618. -0.494562E-01  0.254365E-01  0.412268E-01 -0.904935E+07  0.897701E+06  0.426289E+06  0.294289E+07 -0.508648E+06  0.351622E+06
     11.    606. -0.527558E-01  0.225014E-01  0.420962E-01 -0.142912E+08 -0.735125E+06 -0.103338E+07  0.398245E+07 -0.227572E+06  0.154197E+06
     11.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.108069E+08  0.999432E+05 -0.118114E+06  0.302610E+07 -0.163255E+06  0.546133E+06
     12.    612. -0.489676E-01  0.301029E-01  0.367220E-01 -0.917625E+07  0.136757E+06 -0.170529E+06  0.220188E+07 -0.133133E+07  0.231565E+07
     12.    618. -0.494562E-01  0.254365E-01  0.412268E-01 -0.868923E+07  0.139841E+06  0.996756E+05  0.291759E+07 -0.107991E+07  0.118519E+07
     12.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.878434E+07  0.537728E+06  0.481997E+06  0.254382E+07 -0.442155E+06  0.101420E+07
     12.    617. -0.477659E-01  0.232224E-01  0.418826E-01 -0.894436E+07 -0.128906E+06  0.228958E+06  0.318020E+07 -0.109340E+07  0.121181E+07
     13.    409. -0.527558E-01  0.276506E-01  0.405710E-01 -0.941913E+07 -0.301351E+06 -0.231232E+06  0.234485E+07 -0.135080E+06  0.225985E+06
     13.    440. -0.511465E-01  0.276506E-01  0.405710E-01 -0.722189E+07  0.495368E+06  0.725401E+06  0.209111E+07 -0.611345E+06  0.357531E+06
     13.    618. -0.494562E-01  0.254365E-01  0.412268E-01 -0.656716E+07  0.449956E+06  0.806541E+06  0.257315E+07 -0.779238E+05 -0.163131E+06
     13.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.923353E+07  0.605070E+06 -0.700041E+05  0.268696E+07 -0.322820E+06  0.729387E+06
     14.    440. -0.511465E-01  0.276506E-01  0.405710E-01 -0.702595E+07  0.734184E+06  0.680661E+06  0.189201E+07 -0.105341E+07  0.999721E+06
     14.    612. -0.489676E-01  0.301029E-01  0.367220E-01 -0.586939E+07  0.134623E+07  0.805886E+06  0.136730E+07 -0.148604E+07  0.193372E+07
     14.    618. -0.494562E-01  0.254365E-01  0.412268E-01 -0.837372E+07  0.419192E+06  0.103994E+06  0.256286E+07 -0.105766E+07  0.121910E+07
     14.    969. -0.514091E-01  0.243993E-01  0.391010E-01 -0.850936E+07  0.780015E+06  0.445415E+06  0.220074E+07 -0.431904E+06  0.106350E+07
     15.    398. -0.921258E-01 -0.236546E-01  0.590781E-01 -0.451636E+06  0.511143E+06 -0.678543E+06 -0.110242E+06  0.373471E+06 -0.409878E+06
     15.    603. -0.921258E-01 -0.285250E-01  0.605207E-01 -0.333296E+06  0.513488E+06  0.311188E+05 -0.466705E+05  0.439112E+06 -0.353811E+06
