# eid nid X Y Z SXX SYY SZZ SXY SYZ SXZ
      10.     983. -5.656580E-02 -1.174490E-02  8.061110E-02  5.390994E+08 -2.164939E+08  1.804718E+09 -1.696321E+08  2.257172E+09 -5.727078E+07
      10.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      11.     344. -5.593080E-02 -1.412530E-02  8.124150E-02  5.629391E+08  3.840757E+08  2.195055E+09 -1.713107E+08  2.629893E+09 -7.398624E+07
      11.     983. -5.656580E-02 -1.174490E-02  8.061110E-02  5.390994E+08 -2.164939E+08  1.804718E+09 -1.696321E+08  2.257172E+09 -5.727078E+07
      11.     364. -5.656580E-02 -1.404880E-02  8.061110E-02  5.627943E+08  3.706342E+08  2.188580E+09 -1.716815E+08  2.624890E+09 -7.304708E+07
      11.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      12.     344. -5.593080E-02 -1.412530E-02  8.124150E-02  5.629391E+08  3.840757E+08  2.195055E+09 -1.713107E+08  2.629893E+09 -7.398624E+07
      12.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      12.    1846. -5.962220E-02 -1.734880E-02  8.286130E-02  5.947482E+08  9.005922E+08  2.654183E+09 -1.742013E+08  2.992842E+09 -8.478015E+07
      12.    2044. -5.766710E-02 -1.153280E-02  8.409630E-02  5.269962E+08 -8.065424E+07  1.721795E+09 -1.638824E+08  2.238401E+09 -5.681082E+07
      13.     344. -5.593080E-02 -1.412530E-02  8.124150E-02  5.629391E+08  3.840757E+08  2.195055E+09 -1.713107E+08  2.629893E+09 -7.398624E+07
      13.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      13.     364. -5.656580E-02 -1.404880E-02  8.061110E-02  5.627943E+08  3.706342E+08  2.188580E+09 -1.716815E+08  2.624890E+09 -7.304708E+07
      13.    1846. -5.962220E-02 -1.734880E-02  8.286130E-02  5.947482E+08  9.005922E+08  2.654183E+09 -1.742013E+08  2.992842E+09 -8.478015E+07
      14.    1221. -5.978410E-02 -1.144050E-02  8.884430E-02  5.075742E+08  5.977170E+07  1.605272E+09 -1.567568E+08  2.179878E+09 -5.203818E+07
      14.    1846. -5.962220E-02 -1.734880E-02  8.286130E-02  5.947482E+08  9.005922E+08  2.654183E+09 -1.742013E+08  2.992842E+09 -8.478015E+07
      14.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      14.    2044. -5.766710E-02 -1.153280E-02  8.409630E-02  5.269962E+08 -8.065424E+07  1.721795E+09 -1.638824E+08  2.238401E+09 -5.681082E+07
      15.     325. -6.355080E-02 -1.412530E-02  8.124150E-02  5.580887E+08  3.169844E+08  2.144726E+09 -1.669642E+08  2.603293E+09 -6.407219E+07
      15.    2051. -6.043370E-02 -1.221780E-02  8.288490E-02  5.314765E+08 -3.127819E+07  1.786837E+09 -1.635183E+08  2.337519E+09 -5.515133E+07
      15.     646. -6.355080E-02 -1.352700E-02  8.889290E-02  5.225267E+08  2.888498E+08  1.852703E+09 -1.574306E+08  2.382795E+09 -5.760176E+07
      15.     647. -6.355080E-02 -1.806950E-02  8.813500E-02  5.657653E+08  8.701361E+08  2.468549E+09 -1.639052E+08  2.864796E+09 -7.642357E+07
      16.    1221. -5.978410E-02 -1.144050E-02  8.884430E-02  5.075742E+08  5.977170E+07  1.605272E+09 -1.567568E+08  2.179878E+09 -5.203818E+07
